id,identifier,mcat,scat
1,Maguro Akami,Sushi,Nigiri (fish-akami),,OK,
2,Maguro Toro,Sushi,Nigiri (fish-akami),,OK,
3,Maguro Otoro,Sushi,Nigiri (fish-akami),,OK,
4,Maguro Zuke,Sushi,Nigiri (fish-akami),,OK,
5,Bintoro,Sushi,Nigiri (fish-akami),,OK,
6,Katsuo,Sushi,Nigiri (fish-akami),,OK,
7,Salmon,Sushi,Nigiri (fish-shiromi),,OK,
8,Toro Salmon,Sushi,Nigiri (fish-shiromi),,OK,
9,Aburi Salmon,Sushi,Nigiri (fish-shiromi),,OK,
10,Hirame,Sushi,Nigiri (fish-shiromi),,OK,
11,Karei,Sushi,Nigiri (fish-shiromi),,OK,
12,Engawa (Karei),Sushi,Nigiri (fish-shiromi),,OK,
13,Tai,Sushi,Nigiri (fish-shiromi),,OK,
14,Hiramasa,Sushi,Nigiri (fish-shiromi),,OK,
15,Mutsu,Sushi,Nigiri (fish-shiromi),,OK,
16,Fugu,Sushi,Nigiri (fish-shiromi),,OK,RARE
17,Ankou,Sushi,Nigiri (fish-shiromi),,OK,RARE
18,Hamachi,Sushi,Nigiri (fish-aose),,OK,
19,Aji,Sushi,Nigiri (fish-aose),,OK,
20,Saba,Sushi,Nigiri (fish-aose),,OK,
21,Sanma,Sushi,Nigiri (fish-aose),,OK,
22,Kohada,Sushi,Nigiri (fish-aose),,OK,
23,Iwashi,Sushi,Nigiri (fish-aose),,OK,
24,Buri,Sushi,Nigiri (fish-aose),,OK,
25,Hotate,Sushi,Nigiri (shell),,OK,
26,Mirugai,Sushi,Nigiri (shell),,OK,
27,Hokkigai,Sushi,Nigiri (shell),,OK,
28,Awabi,Sushi,Nigiri (shell),,OK,
29,Aoyagi,Sushi,Nigiri (shell),,OK,
30,Hamaguri,Sushi,Nigiri (shell),,OK,
31,Ebi,Sushi,Nigiri (other),,OK,
32,Ama Ebi,Sushi,Nigiri (other),,OK,
33,Anago,Sushi,Nigiri (other),,OK,
34,Unagi,Sushi,Nigiri (other),,OK,
35,Tako,Sushi,Nigiri (other),,OK,
36,Nama Tako,Sushi,Nigiri (other),,OK,
37,Ika,Sushi,Nigiri (other),,OK,
38,Kazunoko,Sushi,Nigiri (other),,OK,
