id,identifier,sid,mcat,scat,etc,english,kanji,japanese,keyword1,keyword2,keyword3,cost,description,ready,rare
1,maguro akami,SN001,Sushi,Nigiri,Nigiri (fish-akami),tuna,鮪,トロ,nigiri,red,fish,1,Maguro or Tuna is the most famous Edo style nigiri sushi. Tuna.,OK,no
2,maguro toro,SN002,Sushi,Nigiri,Nigiri (fish-akami),tuna belly,中トロ,ちゅうトロ,nigiri,fatty,fish,2,Toro or Tuna Belly is from the upper belly section. Melts in the mouth.,OK,no
3,maguro otoro,SN003,Sushi,Nigiri,Nigiri (fish-akami),supreme tuna belly,大トロ,大トロ,nigiri,fatty,fish,3,Otoro or Supreme Tuna Belly is the lowest part of the belly section.,OK,no
4,maguro zuke,SN004,Sushi,Nigiri,Nigiri (fish-akami),marinated tuna,漬け,漬け,nigiri,,,,coming soon…,OK,no
5,bintoro,SN005,Sushi,Nigiri,Nigiri (fish-akami),albacore,ビントロ,ビントロ,nigiri,,,,Also known as ‘White Tuna’,OK,no
6,katsuo,SN006,Sushi,Nigiri,Nigiri (fish-akami),bonito,鰹,鰹,nigiri,,,,coming soon…,OK,no
7,syake,SN007,Sushi,Nigiri,Nigiri (fish-shiromi),salmon,鮭,鮭,nigiri,,,,coming soon…,OK,no
8,toro salmon,SN008,Sushi,Nigiri,Nigiri (fish-shiromi),salmon belly,トロサーモン,トロサーモン,nigiri,,,,coming soon…,OK,no
9,aburi salmon,SN009,Sushi,Nigiri,Nigiri (fish-shiromi),top grilled salmon,炙りサーモン,炙りサーモン,nigiri,,,,coming soon…,OK,no
10,hirame,SN010,Sushi,Nigiri,Nigiri (fish-shiromi),fluke,平目,平目,nigiri,,,,coming soon…,OK,no
11,karei,SN011,Sushi,Nigiri,Nigiri (fish-shiromi),flounder,鰈,鰈,nigiri,,,,coming soon…,OK,no
12,engawa,SN012,Sushi,Nigiri,Nigiri (fish-shiromi),dorsal fin muscle,縁側,縁側,nigiri,,,,Usually karei.,OK,no
13,tai,SN013,Sushi,Nigiri,Nigiri (fish-shiromi),sea bream,鯛,鯛,nigiri,,,,coming soon…,OK,no
14,madai,SN014,Sushi,Nigiri,Nigiri (fish-shiromi),red sea bream,真鯛,真鯛,nigiri,,,,coming soon…,OK,no
15,hiramasa,SN015,Sushi,Nigiri,Nigiri (fish-shiromi),yellowtail amberjack,平政,平政,nigiri,,,,coming soon…,OK,no
16,mutsu,SN016,Sushi,Nigiri,Nigiri (fish-shiromi),bluefish,ムツ,ムツ,nigiri,,,,coming soon…,OK,no
17,fugu,SN017,Sushi,Nigiri,Nigiri (fish-shiromi),putter fish,河豚,河豚,nigiri,,,,coming soon…,OK,yes
18,ankou,SN018,Sushi,Nigiri,Nigiri (fish-shiromi),monkfish,鮟鱇,鮟鱇,nigiri,,,,coming soon…,OK,yes
19,hamachi,SN019,Sushi,Nigiri,Nigiri (fish-aose),young yellowtail,はまち,はまち,nigiri,,,,Also known as Inada. ,OK,no
20,aji,SN020,Sushi,Nigiri,Nigiri (fish-aose),horse mackerel,鯵,鯵,nigiri,,,,coming soon…,OK,no
21,saba,SN021,Sushi,Nigiri,Nigiri (fish-aose),mackerel,鯖,鯖,nigiri,,,,coming soon…,OK,no
22,sanma,SN022,Sushi,Nigiri,Nigiri (fish-aose),saury,秋刀魚,秋刀魚,nigiri,,,,coming soon…,OK,no
23,kohada,SN023,Sushi,Nigiri,Nigiri (fish-aose),yellowfin tuna,黄肌,黄肌,nigiri,,,,coming soon…,OK,no
24,iwashi,SN024,Sushi,Nigiri,Nigiri (fish-aose),sardine,鰯,鰯,nigiri,,,,coming soon…,OK,no
25,buri,SN025,Sushi,Nigiri,Nigiri (fish-aose),adult yellowtail,鰤,鰤,nigiri,,,,coming soon…,OK,no
26,akagai,SN026,Sushi,Nigiri,Nigiri (shell),ark shell,赤貝,赤貝,nigiri,,,,coming soon…,OK,
27,hotate,SN027,Sushi,Nigiri,Nigiri (shell),scallop,帆立貝,帆立貝,nigiri,,,,coming soon…,OK,no
28,mirugai,SN028,Sushi,Nigiri,Nigiri (shell),surf clam,みるがい,みるがい,nigiri,,,,coming soon…,OK,no
29,hokkigai,SN029,Sushi,Nigiri,Nigiri (shell),surf clam,ほっき貝,ほっき貝,nigiri,,,,coming soon…,OK,no
30,awabi,SN030,Sushi,Nigiri,Nigiri (shell),abalone,鮑,鮑,nigiri,,,,coming soon…,OK,no
31,aoyagi,SN031,Sushi,Nigiri,Nigiri (shell),round clam,青柳,青柳,nigiri,,,,coming soon…,OK,no
32,hamaguri,SN032,Sushi,Nigiri,Nigiri (shell),clam,蛤,蛤,nigiri,,,,coming soon…,OK,no
33,kaki,SN033,Sushi,Nigiri,Nigiri (shell),oyster,牡蠣,牡蠣,nigiri,,,,coming soon…,OK,
34,ebi,SN034,Sushi,Nigiri,Nigiri (other),shrimp,海老,海老,nigiri,,,,coming soon…,OK,no
35,ama ebi,SN035,Sushi,Nigiri,Nigiri (other),raw shrimp,甘海老,甘海老,nigiri,,,,coming soon…,OK,no
36,shako,SN044,Sushi,Nigiri,Nigiri (other),mannish shrimp,蝦蛄,蝦蛄,nigiri,,,,Also known as ‘Squilla’.,OK,yes
37,anago,SN036,Sushi,Nigiri,Nigiri (other),conger eel,穴子,穴子,nigiri,,,,coming soon…,OK,no
38,unagi,SN037,Sushi,Nigiri,Nigiri (other),eel,鰻,鰻,nigiri,,,,coming soon…,OK,no
39,tako,SN038,Sushi,Nigiri,Nigiri (other),octopus,蛸,蛸,nigiri,,,,coming soon…,OK,no
40,nama tako,SN039,Sushi,Nigiri,Nigiri (other),raw octopus,生蛸,生蛸,nigiri,,,,coming soon…,OK,no
41,ika,SN040,Sushi,Nigiri,Nigiri (other),squid,イカ,イカ,nigiri,,,,coming soon…,OK,no
42,nama geso,SN046,Sushi,Nigiri,Nigiri (other),raw squid tentacle,生ゲソ,生ゲソ,nigiri,,,,coming soon…,OK,no
43,kani,SN042,Sushi,Nigiri,Nigiri (other),crab,蟹,蟹,nigiri,,,,coming soon…,OK,no
44,kani kama,SN043,Sushi,Nigiri,Nigiri (other),imitation crab,カニカマ,カニカマ,nigiri,,,,coming soon…,OK,no
45,kazunoko,SN041,Sushi,Nigiri,Nigiri (other),herring roe,数の子,数の子,nigiri,,,,coming soon…,OK,no
46,tamago,SN045,Sushi,Nigiri,Nigiri (other),sweet egg roll,玉子,玉子,nigiri,,,,coming soon…,OK,no
47,negitoro,SG001,Sushi,Gunkan,Gunkan (fish),tuna belly and green onion,ネギトロ,ネギトロ,,,,,coming soon…,OK,no
48,ikura,SG002,Sushi,Gunkan,Gunkan (fish),salmon roe,イクラ,イクラ,,,,,coming soon…,OK,no
